29.21,21.87,31.93,22.42
31.14,21.88,32.23,22.44
32.25,21.88,32.56,22.49
32.25,21.9,32.79,22.49
32.25,21.9,32.56,22.54
32.25,21.91,32.54,22.56
32.25,21.91,33.22,22.58
32.25,21.91,33.16,22.6
33.34,21.92,33.06,22.62
33.34,21.92,33.46,22.65
33.34,21.93,33.06,22.64
33.34,21.95,33.26,22.64
33.34,21.97,33.19,22.65
33.34,21.98,33.5,22.69
33.34,22,33.82,22.69
33.34,22.02,33.74,22.71
34.35,22.05,33.94,22.72
34.35,22.08,34.02,22.72
34.35,22.11,33.77,22.75
34.35,22.14,34.23,22.78
34.35,22.17,34.43,22.79
33.21,22.19,34.36,22.84
34.3,22.2,34.18,22.87
34.3,22.22,34.25,22.91
34.3,22.24,34.34,22.92
34.3,22.25,34.41,22.96
34.3,22.26,34.56,22.98
34.3,22.27,34.6,23
34.3,22.28,34.6,23.03
34.3,22.28,34.58,23.06
34.3,22.29,34.74,23.07
34.3,22.32,34.55,23.06
34.3,22.36,34.62,23.07
34.1,22.4,34.58,23.09
34.1,22.44,34.77,23.09
35.15,22.47,35.16,23.12
35.15,22.49,35.36,23.14
34.1,22.48,35.4,23.19
34.1,22.47,35.57,23.23
34.1,22.47,35.54,23.24
34.1,22.47,35.69,23.25
34.1,22.48,35.69,23.25
34.1,22.48,35.53,23.27
34.1,22.49,35.43,23.27
34.1,22.5,35.35,23.27
34.1,22.52,35.34,23.26
35.14,22.53,35.36,23.27
35.14,22.53,35.38,23.29
35.14,22.55,35.47,23.29
35.14,22.57,35.82,23.3
35.14,22.59,35.86,23.3
35.14,22.61,35.91,23.3
35.14,22.63,35.94,23.32
34.1,22.65,35.89,23.33
34.1,22.68,35.95,23.34
34.1,22.7,36.59,23.37
34.1,22.72,36.69,23.4
34.1,22.73,36.29,23.44
34.1,22.75,36.18,23.46
34.1,22.77,36.26,23.5
34.1,22.8,36.3,23.5
34.1,22.83,36.2,23.52
34.1,22.86,36.29,23.52
34.1,22.89,36.37,23.55
34.1,22.91,36.37,23.57
34.1,22.94,36.36,23.6
34.1,22.97,36.36,23.63
34.1,23,36.47,23.65
33.92,23.03,36.52,23.69
33.92,23.05,36.62,23.73
33.92,23.08,36.5,23.75
33.92,23.1,36.41,23.79
33.92,23.13,36.54,23.8
33.92,23.16,36.56,23.83
33.92,23.18,36.8,23.87
33.92,23.21,36.76,23.9
33.92,23.24,36.58,23.92
33.92,23.26,36.69,23.96
33.92,23.29,36.68,23.99
32.57,23.32,36.56,24.01
31.26,23.35,36.54,24.05
30.19,23.39,36.05,24.07
29.14,23.42,36.03,24.08
31.06,23.44,36.27,24.11
33.13,23.47,36.41,24.1
33.13,23.52,36.52,24.09
34.14,23.55,36.68,24.12
34.14,23.57,36.57,24.18
34.14,23.6,36.45,24.23
34.14,23.63,36.39,24.27
34.14,23.67,36.42,24.3
34.14,23.7,36.47,24.35
34.14,23.73,36.36,24.41
34.14,23.77,36.24,24.46
34.14,23.82,36.47,24.5
34.14,23.85,36.4,24.55
34.14,23.9,36.35,24.59
34.14,23.93,36.45,24.67
34.14,23.97,36.4,24.72
34.14,24.01,36.36,24.77
34.14,24.04,36.46,24.84
33.96,24.08,36.46,24.87
33.96,24.11,36.29,24.93
33.96,24.15,36.26,24.96
33.96,24.18,36.32,25.02
33.96,24.22,36.54,25.06
33.96,24.24,36.58,25.11
33.96,24.27,36.62,25.15
33.96,24.31,36.32,25.18
33.96,24.35,36.34,25.22
33.96,24.38,36.37,25.25
33.96,24.42,36.45,25.27
33.96,24.45,36.48,25.31
33.96,24.49,36.39,25.34
33.96,24.52,36.47,25.37
33.96,24.56,36.56,25.4
33.92,24.59,37.01,25.45
33.92,24.63,36.8,25.47
33.92,24.65,36.72,25.52
33.92,24.68,36.61,25.56
33.92,24.72,36.54,25.59
33.92,24.76,36.58,25.61
33.92,24.81,36.69,25.62
33.92,24.84,36.91,25.67
33.92,24.88,37.01,25.7
33.92,24.91,36.88,25.75
33.92,24.93,36.68,25.8
33.92,24.96,36.53,25.83
34.89,24.98,36.78,25.87
34.89,25.01,36.95,25.9
34.89,25.03,36.94,25.94
34.89,25.06,36.78,25.96
34.89,25.08,36.78,26
34.89,25.11,36.78,26.03
34.41,25.14,36.71,26.06
34.41,25.16,36.59,26.11
34.41,25.2,36.63,26.12
34.41,25.22,36.63,26.17
34.41,25.25,36.61,26.2
34.41,25.27,36.68,26.23
34.41,25.29,36.64,26.26
34.41,25.31,36.59,26.27
34.41,25.33,36.53,26.3
34.41,25.35,36.5,26.32
34.41,25.37,36.5,26.32
34.41,25.38,36.56,26.36
34.41,25.39,36.51,26.38
35.34,25.41,36.73,26.37
33.91,25.43,36.96,26.38
33.91,25.44,37.01,26.41
33.91,25.45,37.02,26.42
33.91,25.45,37.1,26.44
33.91,25.46,37.02,26.46
33.91,25.47,37.08,26.48
33.91,25.48,37.07,26.49
33.91,25.49,37.09,26.52
33.91,25.51,37.1,26.53
33.91,25.53,37.04,26.54
33.91,25.56,36.98,26.55
33.91,25.58,37.04,26.57
33.91,25.59,37.01,26.59
33.91,25.6,37.14,26.63
32.92,25.62,37.32,26.64
31.74,25.63,37.33,26.67
31.74,25.64,37.17,26.7
30.71,25.65,37.27,26.74
30.71,25.67,37.41,26.74
30.71,25.67,37.37,26.77
30.71,25.69,37.04,26.75
30.71,25.7,36.9,26.75
30.71,25.68,37,26.75
30.71,25.67,37.21,26.71
30.71,25.68,37.48,26.65
30.71,25.68,37.49,26.63
30.71,25.68,37.46,26.6
33.03,25.69,37.48,26.58
33.03,25.7,37.44,26.57
34.71,25.72,37.32,26.57
34.71,25.73,37.33,26.58
34.71,25.75,37.28,26.58
34.71,25.78,37.54,26.57
34.71,25.8,37.36,26.58
34.71,25.83,37.26,26.57
34.71,25.86,37.3,26.57
34.71,25.89,37.39,26.57
34.71,25.93,37.31,26.55
32.88,25.96,37.3,26.56
31.28,25.98,37.35,26.57
31.28,26,37.46,26.57
31.28,26.02,37.39,26.57
31.28,26.05,37.57,26.53
30.27,25.87,38.19,26.51
30.27,25.83,38.2,26.48
30.27,25.79,38.02,26.46
30.27,25.75,37.95,26.43
30.27,25.7,37.94,26.4
30.27,25.66,37.98,26.37
30.27,25.61,38.07,26.34
30.27,25.56,38.09,26.3
30.27,25.51,37.99,26.27
29.81,25.42,37.95,26.17
32.3,25.37,37.9,26.12
34.2,25.31,37.75,26.08
34.2,25.26,37.78,26.03
34.2,25.2,37.79,26
34.2,25.15,37.95,25.95
34.2,25.1,37.95,25.89
35.21,25.04,38,25.85
35.21,24.99,38.14,25.8
33.59,24.93,38.08,25.76
31.78,24.88,38.28,25.71
30.67,24.82,38.44,25.68
30.67,24.76,38.51,25.65
30.67,24.7,38.54,25.62
29.64,24.64,38.79,25.59
29.64,24.59,38.87,25.54
29.64,24.53,39.03,25.5
29.64,24.47,39.03,25.47
29.64,24.42,39.16,25.43
29.64,24.36,39.34,25.38
29.64,24.31,39.5,25.33
29.64,24.26,39.51,25.28
29.64,24.21,39.58,25.23
29.64,24.16,39.69,25.17
29.64,24.11,39.76,25.12
29.64,24.06,40.25,25.07
29.64,24.01,40.35,25.03
29.64,23.98,40.44,24.96
28.92,23.94,40.54,24.91
28.92,23.9,40.97,24.87
31.75,23.86,41.23,24.83
33.78,23.83,41.31,24.77
33.78,23.8,41.84,24.72
33.78,23.76,42.29,24.7
33.78,23.73,42.17,24.66
33.78,23.69,42.59,24.62
33.78,23.65,42.79,24.59
33.78,23.61,42.8,24.56
33.78,23.57,42.88,24.52
33.78,23.52,43.01,24.49
33.18,23.47,43.12,24.45
31.39,23.41,43.27,24.42
29.74,23.36,43.45,24.37
29.74,23.31,43.48,24.32
29.74,23.25,43.69,24.28
28.72,23.19,44.12,24.23
28.72,23.13,44.18,24.19
28.72,23.08,44.11,24.13
28.72,23.03,44.39,24.08
28.72,22.98,44.5,24.02
28.72,22.93,44.58,23.97
28.72,22.88,44.73,23.92
28.72,22.84,44.85,23.85
28.72,22.79,44.96,23.8
28.72,22.74,45.19,23.76
28.72,22.7,45.27,23.7
28.72,22.65,45.3,23.67
27.91,22.61,45.46,23.61
30.95,22.56,45.51,23.57
30.95,22.51,45.63,23.54
32.66,22.47,45.62,23.51
32.66,22.43,45.8,23.47
32.66,22.4,45.86,23.43
32.66,22.35,45.81,23.4
33.93,22.31,45.94,23.37
33.93,22.27,45.96,23.33
33.93,22.23,45.95,23.29
33.93,22.19,46.21,23.25
32.56,22.15,46.35,23.21
31.24,22.11,46.4,23.16
30.07,22.08,46.64,23.1
28.95,22.04,46.81,23.05
28.95,22,46.9,23
28.95,21.96,47.03,22.93
27.91,21.92,47.18,22.88
27.91,21.87,47.15,22.86
27.91,21.83,47.27,22.81
27.91,21.79,47.25,22.77
27.91,21.75,47.38,22.72
27.91,21.7,47.35,22.69
27.91,21.66,47.64,22.65
27.91,21.61,47.62,22.63
27.91,21.57,47.77,22.59
27.91,21.53,47.62,22.55
27.91,21.49,47.73,22.5
27.91,21.45,47.84,22.47
29.33,21.16,48.35,22.14
30.67,21.13,48.37,22.09
31.7,21.1,48.52,22.05
31.7,21.06,48.78,22.02
31.7,21.03,48.9,21.99
31.7,21,48.75,21.95
31.7,20.97,48.34,21.92
31.7,20.94,48.81,21.89
31.7,20.91,49.06,21.86
31.7,20.88,49.12,21.83
31.7,20.85,49.02,21.79
31.7,20.81,49.27,21.77
31.7,20.79,49.48,21.73
31.7,20.75,49.43,21.71
31.7,20.73,49.66,21.65
31.7,20.69,49.52,21.65
30.98,20.67,48.91,21.62
30.98,20.64,49.13,21.58
29.22,20.61,49.53,21.55
27.53,20.58,49.51,21.52
27.53,20.55,49.8,21.49
27.53,20.52,49.75,21.46
28.67,20.31,50.27,21.22
30.56,20.28,49.81,21.2
31.74,20.25,49.85,21.17
31.74,20.22,49.71,21.14
31.74,20.2,49.89,21.11
31.74,20.17,50.05,21.1
31.74,20.15,50.16,21.06
32.89,20.13,50.35,21.01
32.89,20.1,50.5,20.98
32.89,20.07,50.45,20.96
32.89,20.04,50.3,20.92
32.89,20.02,50.56,20.9
32.89,19.99,50.33,20.87
32.89,19.97,50.44,20.85
32.89,19.94,50.39,20.83
32.89,19.91,50.38,20.81
32.89,19.88,50.78,20.78
32.89,19.86,50.84,20.75
31.12,19.83,50.68,20.73
29.29,19.8,50.77,20.7
28.21,19.77,50.7,20.68
29.78,19.57,50.61,20.49
31.97,19.54,50.73,20.47
31.97,19.52,50.56,20.44
32.99,19.5,50.68,20.41
32.99,19.47,51.21,20.4
32.99,19.46,51.52,20.35
32.99,19.44,51.36,20.34
32.99,19.42,51.38,20.3
32.99,19.4,51.14,20.28
32.99,19.37,51.33,20.26
32.99,19.35,51.54,20.24
32.99,19.33,51.71,20.21
32.99,19.31,51.84,20.19
32.99,19.28,51.4,20.17
31.86,19.26,51.16,20.14
31.86,19.23,51.24,20.11
30.78,19.21,51.29,20.09
30.78,19.18,51.56,20.07
31.92,19.16,51.88,20.05
31.92,19.14,51.99,20.02
31.92,19.12,51.56,20.01
31.92,19.1,51.95,19.97
31.92,19.08,52.04,19.94
31.92,19.06,51.88,19.91
31.92,19.03,51.78,19.89
31.92,19.01,51.99,19.86
